OBJECTID,CNSTRNT_TYPE_CD,TRVL_DRCT_CD,RTE_NM,CNSTRNT_DELAY_FLAG,CNSTRNT_DETOUR_FLAG,RDWAY_NM,CNSTRNT_METRO_FLAG,LMT_FROM_DSCR,LMT_TO_DSCR,COND_DSCR,FROM_RMKR_NBR,FROM_DISP_MS,TO_RMKR_NBR,TO_DISP_MS,CREATE_TS,ROW_UPDT_STAT_FLAG,TXDOT_COUNTY_NBR,HCRS_CNTYWIDE_FLAG,COND_START_TS,COND_END_TS,Latitude,Longitude
2,F,EW,FM3211,N,N,,N,3.2  Miles West of SH0066,,Water over roadway. ,620,0,620,0,5/8/2014 22:02,1,117,,5/8/2014 21:48,5/9/2014 7:00,33.1053299,-96.20253232
3,F,W,FM2655,N,N,,N,1.8  Miles West of SH0011,,Water over roadway. ,632,0,632,0,5/8/2014 22:04,1,117,,5/8/2014 22:02,5/9/2014 7:00,33.30616033,-95.98920589
4,F,NS,FM0118,N,N,,N,0.2  Miles North of FM1566,,Water over roadway. ,234,0,234,0,5/8/2014 22:05,1,117,,5/8/2014 22:04,5/9/2014 7:00,33.24077275,-96.05915893
5,F,EW,IH0030,N,N,,N,0.5  Miles West of FM1570,,Water over roadway. ,89,0,89,0,5/8/2014 22:07,1,117,,5/8/2014 22:05,5/9/2014 7:00,33.05750695,-96.16311454
6,F,EW,IH0030,N,N,,N,1.5  Miles East of FM1570,,Water over roadway. ,91,0,91,0,5/8/2014 22:08,1,117,,5/8/2014 22:07,5/9/2014 7:00,33.07770653,-96.13834394
7,F,EW,FM3211,N,N,,N,3.2  Miles West of SH0066,,Water over roadway. ,620,0,620,0,5/9/2014 8:29,1,117,,5/9/2014 8:28,5/9/2014 12:00,33.1053299,-96.20253232
8,F,EW,SH0224,N,N,,N,0.9  Miles East of SH0034,,Water over roadway. ,630,0,630,0,5/9/2014 8:31,1,117,,5/9/2014 8:29,5/9/2014 12:00,33.16186538,-96.08674435
9,F,NS,FM0118,N,N,,N,0.2  Miles North of FM1566,,Water over roadway. ,234,0,234,0,5/9/2014 8:32,1,117,,5/9/2014 8:31,5/9/2014 12:00,33.24077275,-96.05915893
10,F,EW,FM2655,N,N,,N,1.8  Miles West of SH0011,,Water over roadway. ,632,0,632,0,5/9/2014 8:33,1,117,,5/9/2014 8:33,5/9/2014 12:00,33.30616033,-95.98920589
11,F,EW,IH0030,N,N,,N,0.5  Miles West of FM1570,,Water over roadway. ,89,0,89,0,5/9/2014 8:36,1,117,,5/9/2014 8:33,5/9/2014 12:00,33.05750695,-96.16311454
12,F,EW,IH0030,N,N,,N,0.3  Miles West of FM0036,,Water over roadway. ,85,0,85,0,5/9/2014 8:36,1,117,,5/9/2014 8:36,5/9/2014 12:00,33.01585917,-96.21037548
13,F,NS,FM1531,N,N,,N,2  Miles North of SH0024,,Water over roadway. ,230,0,230,0,5/9/2014 8:59,1,60,,5/9/2014 8:55,5/10/2014 8:00,33.28514589,-95.82409585
14,F,NS,FM0036,N,N,,N,0.4  Miles North of FM1564,,Water over roadway. ,254,-0.671,254,-0.671,5/9/2014 9:14,1,117,,5/9/2014 9:09,5/9/2014 12:00,32.99610587,-96.18465569
15,F,NS,FM1565,N,N,,N,1.5  Miles North of SH0276,,Water over roadway. ,258,-0.446,258,-0.446,5/9/2014 10:13,1,117,,5/9/2014 10:07,5/9/2014 12:00,32.8978272,-96.25315134
16,F,EW,IH0030,N,N,,N,0.3  Miles West of FM0036,,Water over roadway. ,85,0,85,0,5/9/2014 13:33,1,117,,5/9/2014 13:32,5/9/2014 17:00,33.01585917,-96.21037548
17,F,EW,IH0030,N,N,,N,0.5  Miles West of FM1570,,Water over roadway. ,89,0,89,0,5/9/2014 13:34,1,117,,5/9/2014 13:33,5/9/2014 17:00,33.05750695,-96.16311454
18,F,NS,FM0118,N,N,,N,0.2  Miles North of FM1566,,Water over roadway. ,234,0,234,0,5/9/2014 13:36,1,117,,5/9/2014 13:35,5/9/2014 17:00,33.24077275,-96.05915893
19,F,NS,FM1565,N,N,,N,1.357 Miles South of SH0276 on FM1565,,Water over roadway. ,258,-0.423,258,-0.423,5/9/2014 13:37,1,117,,5/9/2014 13:36,5/9/2014 17:00,32.89749901,-96.25322501
20,F,NS,FM0036,N,N,,N,0.2  Miles North of FM1564,,Water over roadway. ,254,-0.919,254,-0.919,5/9/2014 13:39,1,117,,5/9/2014 13:37,5/9/2014 17:00,32.99970751,-96.18454136
21,F,NS,FM0036,N,N,,N,0.2  Miles North of FM1564,,Water over roadway. ,254,-0.919,254,-0.919,5/9/2014 13:40,1,117,,5/9/2014 13:37,5/9/2014 17:00,32.99970751,-96.18454136
22,F,EW,FM2655,N,N,,N,1.8  Miles West of SH0011,,Water over roadway. ,632,0,632,0,5/9/2014 13:32,0,117,,5/9/2014 13:31,5/9/2014 17:00,33.30616033,-95.98920589
23,F,EW,FM3211,N,N,,N,1.2  Miles West of SH0066,,Water over roadway. ,622,0,622,0,5/9/2014 13:35,0,117,,5/9/2014 13:34,5/9/2014 17:00,33.11336112,-96.17760241
24,F,EW,FM1280,Y,N,,N,4.097 Miles East of FM2781 on FM1280,,Water over roadway. ,686,-0.652,686,-0.652,5/13/2014 14:33,1,228,,5/13/2014 14:32,5/13/2014 19:00,31.10355158,-95.29670778
25,F,EW,FM1280,Y,N,,N,4.097 Miles East of FM2781 on FM1280,,Water over roadway. ,686,-0.652,686,-0.652,5/13/2014 11:47,0,228,,5/13/2014 11:35,5/13/2014 16:00,31.10355158,-95.29670778
