State,GEOID,NHTS2009_Annual_PT_Million,NHTS2009_AvgPerTripLength_Mile,NHTS2009_AvgPerTripDuration_Minute,Mode,Year,ACS_Popu,ACS_CommutePopu,AF1,AF2,Estimated_Annual_Trips_Million,Estimated_Annual_MilesTraveled_Million,Estimated_Annual_HoursTraveled_Million
Alabama,01,154,0.37,14.49,Bike,2009,4708708,2392,176.39,1.00,154.00,56.98,37.19
Alaska,02,10,1.27,12.97,Bike,2009,698473,2689,10.19,1.00,10.00,12.70,2.16
Arizona,04,97,1.71,12.94,Bike,2009,6595778,26015,10.22,1.00,97.04,165.94,20.93
Arkansas,05,2,0.67,11.58,Bike,2009,2889450,1516,3.61,1.00,2.00,1.34,0.39
California,06,660,2.89,22.31,Bike,2009,36961664,158477,11.41,1.00,660.00,1907.40,245.41
Colorado,08,159,3.6,21.91,Bike,2009,5024748,34500,12.63,1.00,159.04,572.54,58.08
Connecticut,09,33,1.29,7.14,Bike,2009,3518288,5072,17.83,1.00,33.01,42.58,3.93
Delaware,10,3,0.54,18.51,Bike,2009,885122,1255,6.55,1.00,3.00,1.62,0.93
District of Columbia,11,11,1.6,21.41,Bike,2009,599657,6306,4.78,1.00,11.00,17.60,3.93
Florida,12,283,1.93,17.8,Bike,2009,18537969,51684,15.00,1.00,282.97,546.13,83.95
Georgia,13,94,1.51,17.05,Bike,2009,9829211,10158,25.35,1.00,93.99,141.92,26.71
Hawaii,15,17,6.63,43.83,Bike,2009,1295178,8128,5.73,1.00,17.00,112.71,12.42
Idaho,16,20,3.87,29.27,Bike,2009,1545801,7831,7.00,1.00,20.01,77.44,9.76
Illinois,17,297,2.25,17.43,Bike,2009,12910409,33449,24.33,1.00,297.04,668.34,86.29
Indiana,18,91,1.44,18.8,Bike,2009,6423113,12069,20.66,1.00,91.01,131.05,28.52
Iowa,19,62,1.99,22.71,Bike,2009,3007857,5797,29.30,1.00,62.00,123.38,23.47
Kansas,20,19,2.14,13.27,Bike,2009,2818747,5369,9.70,1.00,19.01,40.68,4.20
Kentucky,21,50,0.64,17.96,Bike,2009,4314113,4129,33.18,1.00,50.01,32.01,14.97
Louisiana,22,36,4.46,20.11,Bike,2009,4492076,8056,12.24,1.00,35.99,160.52,12.06
Maine,23,6,4.16,29.03,Bike,2009,1318301,3202,5.13,1.00,6.00,24.96,2.90
Maryland,24,90,4.88,23.37,Bike,2009,5699478,10315,23.90,1.00,89.98,439.10,35.05
Massachusetts,25,26,4.08,35.58,Bike,2009,6593587,26832,2.65,1.00,25.95,105.88,15.39
Michigan,26,177,1.29,19.28,Bike,2009,9969727,19689,24.63,1.00,177.00,228.33,56.88
Minnesota,27,115,2.33,17.01,Bike,2009,5266215,18968,16.61,1.00,115.00,267.95,32.60
Mississippi,28,20,0.63,5.57,Bike,2009,2951996,995,55.07,1.00,20.00,12.60,1.86
Missouri,29,45,2.29,23.64,Bike,2009,5987580,6936,17.78,1.00,45.01,103.07,17.73
Montana,30,12,2.12,25.17,Bike,2009,974989,7946,4.14,1.00,12.01,25.46,5.04
