OBJECTID,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,GEOID_Data,ALAND_SQMI
1,3,6,1,1779775,1,AL,Alabama,0,G4000,A,1.31173E+11,4593984687,32.7396323,-86.8434593,17.34479983,13.06723209,04000US01,50646.30028
2,4,9,2,1785533,2,AK,Alaska,0,G4000,A,1.47795E+12,2.45392E+11,63.3461909,-152.837069,252.0277271,313.9952127,04000US02,570638.0372
3,4,8,4,1779777,4,AZ,Arizona,0,G4000,A,2.94204E+11,1027559124,34.2039355,-111.6063565,23.92666715,28.91903349,04000US04,113592.9362
4,3,7,5,68085,5,AR,Arkansas,0,G4000,A,1.34769E+11,2962525273,34.8955256,-92.4446262,22.09511131,13.58538171,04000US05,52034.6882
5,4,9,6,1779778,6,CA,California,0,G4000,A,4.03489E+11,20477992907,37.1551773,-119.5434183,42.61793934,43.08335828,04000US06,155787.8928
6,4,8,8,1779779,8,CO,Colorado,0,G4000,A,2.68428E+11,1175462574,38.9938673,-105.5083188,22.02495605,28.03958744,04000US08,103640.7544
7,1,1,9,1779780,9,CT,Connecticut,0,G4000,A,12542452026,1814924099,41.5797777,-72.7466665,5.714335996,1.55006183,04000US09,4842.665812
8,3,5,10,1779781,10,DE,Delaware,0,G4000,A,5047105127,1398742998,38.998538,-75.4416616,4.141689907,0.670231311,04000US10,1948.697384
9,3,5,11,1702382,11,DC,District of Columbia,0,G4000,A,158364990,18633403,38.9041031,-77.017229,0.684463296,0.01838068,04000US11,61.14503937
10,3,5,12,294478,12,FL,Florida,0,G4000,A,1.38905E+11,31406193924,28.4574302,-82.4091478,31.67264489,15.70012919,04000US12,53631.43337
11,3,5,13,1705317,13,GA,Georgia,0,G4000,A,1.4917E+11,4740824950,32.6295789,-83.4235109,21.0650598,14.79404149,04000US13,57594.74231
12,4,9,15,1779782,15,HI,Hawaii,0,G4000,A,16634133472,11777724416,19.8281713,-155.4950401,21.32602607,2.469575374,04000US15,6422.472202
13,4,8,16,1779783,16,ID,Idaho,0,G4000,A,2.14043E+11,2397619893,44.3484222,-114.5588538,31.24276869,24.45639221,04000US16,82642.36523
14,2,3,17,1779784,17,IL,Illinois,0,G4000,A,1.43795E+11,6200606440,40.1028754,-89.1526108,22.53188987,15.85261636,04000US17,55519.49624
15,2,3,18,448508,18,IN,Indiana,0,G4000,A,92790537698,1535887357,39.9030256,-86.2839503,17.1609742,9.938613568,04000US18,35826.61219
16,2,4,19,1779785,19,IA,Iowa,0,G4000,A,1.44667E+11,1077969087,42.0700243,-93.4933473,20.77194583,15.85758188,04000US19,55856.40399
17,2,4,20,481813,20,KS,Kansas,0,G4000,A,2.11753E+11,1346896791,38.4985464,-98.3834298,21.42590511,22.00471639,04000US20,81758.13434
18,3,6,21,1779786,21,KY,Kentucky,0,G4000,A,1.02266E+11,2389483091,37.5336844,-85.2929801,22.84420745,10.66815211,04000US21,39485.20483
19,3,7,22,1629543,22,LA,Louisiana,0,G4000,A,1.11903E+11,23747902252,30.8634368,-91.7987173,26.11953143,12.80168926,04000US22,43206.05742
20,1,1,23,1779787,23,ME,Maine,0,G4000,A,79885774936,11748561064,45.4092789,-68.6665979,18.96431065,10.50904385,04000US23,30844.05747
21,3,5,24,1714934,24,MD,Maryland,0,G4000,A,25147417568,6983598596,38.9466584,-76.6744939,15.04714783,3.338784753,04000US24,9709.468218
22,1,1,25,606926,25,MA,Massachusetts,0,G4000,A,20205425910,7130316321,42.1565196,-71.4895915,11.99653189,2.977929617,04000US25,7801.355355
23,2,3,26,1779789,26,MI,Michigan,0,G4000,A,1.46455E+11,1.04031E+11,44.8441757,-85.660493,29.10872512,28.53868376,04000US26,56546.75202
24,2,4,27,662849,27,MN,Minnesota,0,G4000,A,2.06236E+11,18924724649,46.3161343,-94.1994801,35.11030416,26.32535612,04000US27,79628.20616
25,3,6,28,1779790,28,MS,Mississippi,0,G4000,A,1.21532E+11,3928386321,32.6864714,-89.6561377,23.5623783,12.06964171,04000US28,46923.73638
26,2,4,29,1779791,29,MO,Missouri,0,G4000,A,1.78053E+11,2487589369,38.35075,-92.4567826,24.9236249,18.61499634,04000US29,68746.47534
27,4,8,30,767982,30,MT,Montana,0,G4000,A,3.76965E+11,3868193267,47.0511771,-109.6348174,36.7189341,45.07888136,04000US30,145546.8542
28,2,4,31,1779792,31,NE,Nebraska,0,G4000,A,1.98972E+11,1356294775,41.5433014,-99.8118616,24.25404327,21.61384303,04000US31,76823.65308
29,4,8,32,1779793,32,NV,Nevada,0,G4000,A,2.84332E+11,2047841189,39.3310928,-116.6151469,23.87646407,29.94030666,04000US32,109781.1979
