username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,Search_Term
,5/9/2017 13:51,0,0,Farm Equipment Crash Study | Great Plains Center for Agricultural Health https://www.public-health.uiowa.edu/gpcah/center-projects/farm-equipment-crash-study/ …,,,,8.62E+17,https://twitter.com/PeterLundqvist1/status/862017259941883904,Agricultutal Equipment Crash
,4/26/2017 19:00,0,0,Mock crash raises awareness of sharing roads with agricultural equipment. http://mnhne.ws/2p4NyTr ,,,,8.57E+17,https://twitter.com/mnherald/status/857383903702732800,Agricultutal Equipment Crash
,5/23/2014 22:46,0,0,Not just a rural occurren Differences in agricultural equipment crash characteristic http://engineering.scientific-papers.com/not-just-a-r ,,,,4.70E+17,https://twitter.com/scientificpaper/status/470048158094200832,Agricultutal Equipment Crash
,5/15/2017 7:25,0,0,Oakes Man Killed in Crash of SUV and Farm Equipment https://www.usnews.com/news/best-states/north-dakota/articles/2017-05-15/oakes-man-killed-in-crash-of-suv-and-farm-equipment?utm_source=dlvr.it&utm_medium=twitter …,,,,8.64E+17,https://twitter.com/24H_WorldNews/status/864094300404989953,Farm Equipment Crash
,5/9/2017 13:51,0,0,Farm Equipment Crash Study | Great Plains Center for Agricultural Health https://www.public-health.uiowa.edu/gpcah/center-projects/farm-equipment-crash-study/ …,,,,8.62E+17,https://twitter.com/PeterLundqvist1/status/862017259941883904,Farm Equipment Crash
,5/4/2017 8:07,1,0,Here's a look at the crash on I-5 nb at Capital Hwy. looks like big farm equipment blocking rt lane. USE CAUTION #LiveOnK2 #pdxtrafficpic.twitter.com/8GlkDktFAD,,,#LiveOnK2 #pdxtrafficpic,8.60E+17,https://twitter.com/MikeKATU/status/860118678087409664,Farm Equipment Crash
,5/3/2017 16:43,0,0,Heavy Equipment: Tractor FAIL/WIN 2016 Accidents Agricolture Farm Equipment Traktor Crash Machine #2 http://youtu.be/Gsp7FJwbNLw  #farming,,,#2 #farming,8.60E+17,https://twitter.com/gofarmvideos/status/859886092450975749,Farm Equipment Crash
,5/3/2017 15:23,0,0,Train &amp; Farm Equipment in Serious Crash,,,,8.60E+17,https://twitter.com/TaniaSegal1/status/859866106705592320,Farm Equipment Crash
,4/28/2017 21:26,2,1,Sheldon Lyon has one word for avoiding a crash with farm equipment: vigilance. http://npnow.news/2oHkpiA ,,,,8.58E+17,https://twitter.com/newspressnow/status/858145371385679878,Farm Equipment Crash
,4/28/2017 12:00,1,2,"After a fatal crash involving a former Bachelor""",,,,,,Farm Equipment Crash
,4/26/2017 0:46,0,0,http://LocalNews8.com  Deadly farm equipment crash involving 'bachelor' contestant prompts warning to… http://goo.gl/IhKVW3 ,,,,8.57E+17,https://twitter.com/Idaho_Guide/status/857108716646273026,Farm Equipment Crash
,4/13/2017 17:46,5,0,Burning car dragged 200 feet after driver hits farm equipment near Lively Grove. #car #crash #news http://www.bnd.com/news/local/article144481394.html …pic.twitter.com/DC4DURQ7jv,,,#car #crash #news,8.53E+17,https://twitter.com/bellevillenewsd/status/852654247535661056,Farm Equipment Crash
,3/21/2017 7:45,0,0,Iowa man killed in crash with farm equipment,,,,,,Farm Equipment Crash
,3/20/2017 21:28,0,1,Iowa man killed in crash with farm equipment on Highway 151,,,,,,Farm Equipment Crash
,3/10/2017 7:34,0,0,Woman injured in crash with farm equipment: A woman has been airlifted to Lafayette General Hospital after her… http://m.tbnn.it/NbJ2jM pic.twitter.com/fZilDR5bEr,,,,8.40E+17,https://twitter.com/lafayettebuzz/status/840194110711513088,Farm Equipment Crash
,3/10/2017 7:34,0,0,WATCH: Woman injured after crash with farm equipment: A woman was injured in Duson Thursday night when her car… http://m.tbnn.it/NbJ2f4 pic.twitter.com/LriLFu0SV7,,,,8.40E+17,https://twitter.com/lafayettebuzz/status/840194100334804994,Farm Equipment Crash
,2/15/2017 12:38,0,0,Woman seriously injured in car crash involving farm equipment http://www.yumasun.com/news/woman-seriously-injured-in-car-crash-involving-farm-equipment/article_760b643a-eff8-11e6-90a5-efa2875b529b.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @yumasun,,@yumasun,,8.32E+17,https://twitter.com/YSJamesGilbert/status/831935838954991616,Farm Equipment Crash
,2/10/2017 20:47,0,1,A woman was injured in a car crash that involved a tractor pulling farm equipment... http://www.yumasun.com/news/woman-seriously-injured-in-car-crash-involving-farm-equipment/article_760b643a-eff8-11e6-90a5-efa2875b529b.html …,,,,8.30E+17,https://twitter.com/yumasun/status/830246889140269057,Farm Equipment Crash
,2/3/2017 21:51,0,1,Farm equipment isn't cheap. Remember 2008? Loans for upgrades may be hard to get if economy crash,,,,8.28E+17,https://twitter.com/lesscrazyplease/status/827726276613988354,Farm Equipment Crash
,1/30/2017 5:47,3,3,#TrafficAlert Crash US 40 & OH-726. Dispatchers say it's a vehicle vs. farm equipment. Injuries reported. Intersection likely closed. @WDTN,,@WDTN,#TrafficAlert,8.26E+17,https://twitter.com/WDTNKelleyKing/status/826034030969749505,Farm Equipment Crash
,1/30/2017 5:27,1,0,#UPDATE: CareFlight requested to serious crash involving a vehicle and piece of farm equipment in Preble Co. http://on.whio.com/2kiHmpe pic.twitter.com/PFBOWQ1xeB,,,#UPDATE,8.26E+17,https://twitter.com/whiotv/status/826029075043082240,Farm Equipment Crash
,1/30/2017 5:14,1,1,CRASH: U.S.40 at Rt. 726 in Preble Co. Report of vehicle vs. farm equipment crash. #DaytonTraffichttp://on.whio.com/2kiLQMN ,,,#DaytonTraffichttp,8.26E+17,https://twitter.com/WHIOTraffic/status/826025698850652166,Farm Equipment Crash
,1/8/2017 20:48,0,0,Heavy Equipment: Tractor FAIL/WIN 2016 Accidents Agricolture Farm Equipment Traktor Crash Machine #2 http://youtu.be/n1zi-p6b7yI  #farming,,,#2 #farming,8.18E+17,https://twitter.com/gofarmvideos/status/818288207569842176,Farm Equipment Crash
,10/28/2016 17:00,0,0,A two-vehicle crash in Butte County involving a car and a piece of farm equipment killed a 67-year-old woman. http://ksoo.com/?p=302461 pic.twitter.com/1HdPtJmNah,,,,7.92E+17,https://twitter.com/twright0610/status/792123792516587521,Farm Equipment Crash
,10/27/2016 18:00,0,0,Driver airlifted after crash with farm equipment http://buff.ly/2eKD58v pic.twitter.com/z5ZazIWU6S,,,,7.92E+17,https://twitter.com/RCJournal/status/791776516749271040,Farm Equipment Crash
