method,state,duration,image
Minor Concrete, california/alabama/alaska/arizona, nonpermanent, img1.jpg
Minor Concrete Pavement, texas/arkansas/colorado/connecticut/delaware, permanent,img1.jpg
Asphalt Composite, wisconsin/delaware/georgia/hawaii/idaho/illinois, nonpermanent, img2.jpg
Stamped Asphalt Paving, texas/arizona/florida, permanent, img4.jpg
Patterned Concrete Pavement, texas/indiana/iowa/kansas/kentucky/louisiana/maine, nonpermanent, img5.jpg
Rock Blanket, california/maryland/massachusetts/michigan/minnesota, permanent, img6.jpg
Gravel Mulch, california/nevada/missouri/montana, nonpermanent, img7.jpg
Aggregate Base, texas/nebraska/nevada/new hampshire/new jersey/new mexico, permanent, img2.jpg
Rock Slope Protection, wisconsin/kentucky/alabama/new york/north carolina/north dakota, nonpermanent, img3.jpg
Weed Control Mat (Fiber), texas/ohio/oklahoma/oregon/pennsylvania/rhode island, permanent,img9.jpg
Herbicidal Geofabric, texas/florida/south carolina/south dakota/tennessee/utah, nonpermanent, img5.jpg
Rubber Weed Mat, california/new york/vermont/virginia/washington, permanent,img10.jpg
Irrigated Ornamental Vegetation, texas/arizona/florida/west virginia/wyoming,nonpermanent,img11.jpg
Native and Non-irrigated Vegetation, california/nevada/south carolina/south dakota/tennessee/utah,permanent,img12.jpg
Organic Mulch,wisconsin/arkansas/colorado/connecticut/delaware,permanent,img8.jpg
