country,variable,value
Australia,CO2 emissions,17.77324852
Austria,CO2 emissions,8.147571324
Belgium,CO2 emissions,9.829159629
Canada,CO2 emissions,15.36481578
Denmark,CO2 emissions,7.482175978
Finland,CO2 emissions,10.32056288
France,CO2 emissions,5.190746618
Germany,CO2 emissions,9.139380131
Greece,CO2 emissions,7.519412112
Iceland,CO2 emissions,5.799127623
Ireland,CO2 emissions,7.631979941
Italy,CO2 emissions,6.54837368
Japan,CO2 emissions,9.280510802
Luxembourg,CO2 emissions,20.12169478
Netherlands,CO2 emissions,10.45164251
New Zealand,CO2 emissions,6.880817253
Norway,CO2 emissions,7.692307692
Portugal,CO2 emissions,4.554082572
Spain,CO2 emissions,5.854300849
Sweden,CO2 emissions,4.751718979
Switzerland,CO2 emissions,5.037663677
Turkey,CO2 emissions,3.849563484
United Kingdom,CO2 emissions,7.000225962
United States,CO2 emissions,16.96850775
Australia,Education,44.61
Austria,Education,21.16
Belgium,Education,42.45
Canada,Education,56.7
Denmark,Education,38.58
Finland,Education,39.37
France,Education,43.01
Germany,Education,27.67
Greece,Education,32.52
Iceland,Education,39.37
Ireland,Education,47.19
Italy,Education,20.98
Japan,Education,58.7
Luxembourg,Education,46.64
Netherlands,Education,39.9
New Zealand,Education,46.04
Norway,Education,46.8
Portugal,Education,26.92
Spain,Education,39.15
Sweden,Education,42.86
Switzerland,Education,39.8
Turkey,Education,18.87
United Kingdom,Education,46.91
United States,Education,43.13
Australia,Employment to population ratio,72.3
Austria,Employment to population ratio,72.5
Belgium,Employment to population ratio,61.8
Canada,Employment to population ratio,72.2
Denmark,Employment to population ratio,72.6
Finland,Employment to population ratio,69.5
France,Employment to population ratio,63.9
Germany,Employment to population ratio,72.8
Greece,Employment to population ratio,51.3
Iceland,Employment to population ratio,80.2
Ireland,Employment to population ratio,58.8
Italy,Employment to population ratio,57.6
Japan,Employment to population ratio,70.6
Luxembourg,Employment to population ratio,65.8
Netherlands,Employment to population ratio,75.1
New Zealand,Employment to population ratio,72.1
Norway,Employment to population ratio,75.8
Portugal,Employment to population ratio,61.8
Spain,Employment to population ratio,56.2
Sweden,Employment to population ratio,73.8
Switzerland,Employment to population ratio,79.4
Turkey,Employment to population ratio,48.9
United Kingdom,Employment to population ratio,70.9
United States,Employment to population ratio,67.1
Australia,GDP per capita,44407.02
Austria,GDP per capita,44141.3
Belgium,GDP per capita,40838.06
Canada,GDP per capita,42114.49
Denmark,GDP per capita,42787.23
Finland,GDP per capita,39130.04
France,GDP per capita,36932.83
Germany,GDP per capita,42682.16
Greece,GDP per capita,25585.7
Iceland,GDP per capita,39096.54
Ireland,GDP per capita,43802.59
Italy,GDP per capita,34140.73
Japan,GDP per capita,35481.64
Luxembourg,GDP per capita,89417.04
Netherlands,GDP per capita,43347.62
New Zealand,GDP per capita,32847.38
Norway,GDP per capita,66135.07
Portugal,GDP per capita,25801.55
Spain,GDP per capita,32550.74
Sweden,GDP per capita,42874.26
Switzerland,GDP per capita,53641.07
Turkey,GDP per capita,18314.72
United Kingdom,GDP per capita,35670.57
United States,GDP per capita,51688.63
Australia,Health expenditures,8.9
Austria,Health expenditures,10.8
