Year,Authors,Paper,Abstract
2008,"Matthew Crisler, Johnell Brooks, Jennifer Ogle, Chris Guirl, Priyanka Alluri, Karen Dixon",Effect of Wireless Communication and Entertainment Devices on Simulated Driving Performance,"An analysis of the effect of wireless telephone communication using text and voice modalities as well as an Apple iPod on lane keeping, speed, speed variability, lateral speed, and lane position variability was conducted with a driving simulator. Participants (young adult licensed drivers) drove in an unusually curvy simulated driving environment while using wireless devices, controlling an iPod, and participating in conversations and word games. As expected on the basis of previous research, lane-keeping performance was robust for voice communication tasks; however, the text messaging and iPod tasks that required significant manual manipulation of the device resulted in significant decrements in lane-keeping performance. In addition, all wireless communication tasks and the iPod task resulted in significant increases in speed variability throughout the driving scenario. Lateral speed increases occurred for all wireless communication tasks other than the cellular phone conversation as well as the iPod task. Increases in lane position variability were observed for the text messaging conditions. In addition to establishing the dramatic performance decrement caused by text messaging tasks, this experiment suggests that driving performance may be affected by distraction in ways not captured by lane-keeping measures alone and explores potential alternative measures of driving performance that may be useful for identifying and quantifying the effects of distracted driving."
2014,"Karen Dixon, Lacy Brown"," Assessing How Drivers of Through Vehicles React to Driveway Activity","As population and development levels increase in both urban and rural areas, the implementation of access management strategies is vital for creating safe, efficient, and sustainable transportation systems. To meet the changing needs of transportation systems and their users, the accuracy and the applicability of the base assumptions used to develop access management guidelines must be verified. This research effort utilized a driving simulator study to investigate several assumptions related to driver behavior and access management. The simulator study focused on driver perception-reaction time in the vicinity of driveways and driver behavior in response to differing driveway activity types. The results indicated that the average and 85th percentile perception-reaction times for all drivers were 2.8 s and 4.3 s, respectively. Surprisingly, older drivers (age 65 and older) appeared to be more alert and had an 85th percentile perception-reaction time a full second shorter than that of their younger counterparts (3.3 s versus 4.4 s). The researchers also observed that deceleration rates had a curvilinear (not constant) relationship with vehicle speed, and these values were much lower than the accepted AASHTO value of 11.2 ft/s2. Finally, the predominant response to driveway activity was a slowing maneuver, not a stop or a lane change. This finding suggests that sight distance calculations based on an urgent stop may not be the most appropriate metric for determining access spacing guidelines for commercial urban road environments."
2009,"Karen Dixon, Michael Liebler, Michael Hunter","Urban Roadside SafetyCluster-Crash Evaluation","Roadside safety in rural environments has been the focus of considerable study, but direct application of this knowledge to the constrained urban environment has posed many challenges. Restricted right-of-way with a greater demand for functional use of the space adjacent to urban roads makes the maintenance of a wide clear zone impractical. This paper summarizes a corridor roadside crash analysis used to help identify urban roadside safety issues and illuminate possible solutions for attempting to mitigate objects in the roadside that have the potential to increase injury severity if hit. The paper focuses on arterial and collector-type facilities in urban areas with speed limits between 25 and 50 mph. The authors assessed corridors of urban roadside conditions and compared 6 years of historic crash data with roadside features. The goal of this effort was to identify potential configurations that posed a greater risk by the use of cluster-crash analysis. Locations with similar features without these companion crashes provided insight into prospective alternative treatments for roadside safety in urban environments. The higher-risk roadside locations identified by these approaches were referred to as urban control zones. The most commonly observed roadside crashes included locations in close lateral proximity to the curb face or lane edge, lane merge locations, select auxiliary lane treatments, sidewalk buffer configurations with rigid objects in close proximity to the travelway, driveway and intersection locations, high-cluster-crash locations, and other common roadside crash conditions."
,"Karen Dixon, Ida van Schalkwyk, Robert Layton",Balancing Urban Driveway Design Demands Based on Stopping Sight Distance,"Many roadways in urban areas, especially dense commercial areas, are subjected to on-street and adjacent off-street parking demands; local access through driveways is an essential component of these complex urban corridors. Vehicles entering and exiting these driveways_and their interaction with parked cars, other moving motorized vehicles, bicycles, and pedestrians_present challenges for a safe and efficient roadway corridor. The location and the design of these driveways, together with parking and bicycle facilities, generate sight distance challenges that affect pedestrians and bicyclists. This paper investigates the type and nature of impacts_including conflicts, sight distance, operations, and safety at driveway locations_as they relate to pedestrians, bicyclists, and drivers. It also analyzes design geometrics that may help to provide adequate sight distance for safety at driveways with and without bicycle lanes present. Parked vehicles often obstruct drivers' view of approaching motor vehicles and bicycles. In many locations, vehicles exiting drive-ways must edge out into the active travel way for the driver to have an unobstructed view. Driveway location and design analysis demonstrate the value of bicycle lanes in providing enhanced sight distance. Current practices permit longitudinal placement of on-street parking too close to driveways. For safety reasons, agencies should consider excluding on-street parking on roads with bicycle lanes when speeds exceed 30 mph so as to provide adequate sight distance without creating sporadic on-street parking spacing. Roads without bicycle lanes often do not provide adequate stopping sight distance at on-street parking driveway locations when motor vehicle operating speeds exceed 25 mph."
1996,"Karen Dixon, Joseph Hummer, Ann Lorscheider",Capacity for North Carolina Freeway Work Zones,"Work zone capacity values for rural and urban freeways without continuous frontage roads were defined and determined. Data were collected using Nu-Metrics counters and classifiers at 24 work zones in North Carolina. The research included analysis of speed-flow behavior, evaluation of work zone sites based on lane configuration and site location, and determination of the location within the work zone where capacity is lowest. It was shown that the intensity of work activity and the type of study site (rural or urban) strongly affected work zone capacity. The data suggested that the location where capacity is reached is also variable based on the intensity of work. For heavy work in a two-lane to one-lane work zone configuration, the capacity values proposed at the active work area are approximately 1,200 vehicles per hour per lane for rural sites and 1,500 vehicles per hour per lane for urban sites. It is recommended that two distinct volumes be used when queue behavior in a freeway work zone is analyzed. The collapse from uninterrupted flow (designated work zone capacity) and the lower queue-discharge volume both should be considered."
1999,"Karen Dixon, Chi-Hung Wu, Wayne Sarasua, Janice Daniel",Estimating Free-Flow Speeds for Rural Multilane Highways,"The National Highway System Designation Act of 1995 repealed the national maximum speed limit. As a result, many of the states have increased posted speed limits to 105 km/h (65 mph) for select multilane highways. This study evaluates the distribution of the speed and studies the influence of site characteristics, light conditions, and type of vehicle on the field-measured free-flow speed. The suitability of the Highway Capacity Manual multilane highway rules of thumb for freeflow speed to both an 89- and a 105-km/h (55- and 65-mph) posted speed limit condition is also discussed."
2012,"Raul Avelar, Karen Dixon","How Far from Optimal Are Current Advisory Speeds?Analysis Based on Safety Performance","expected performance of advisory speeds from the proposed procedure with the speeds derived from current posting guidelines. The comparable performance of the proposed procedure suggests that current guidelines are close to the hypothetically optimal advisory speed. In general, speeds determined by both the current and the new computational methods performed better than those determined by the ball bank indicator method. This paper also presents a field validation analysis of the engine function of the new posting method. The results confirmed the meaningfulness of the function and therefore the potential benefit of the proposed method for determining safety-based advisory speeds. The posting of advisory speed signs at sharp horizontal curves to provide the driving public with a safe speed is a practice well established in the United States. However, the operational effectiveness of these signs has long been questioned in the literature. The authors of this paper recently developed a function to model the expected safety effect of these signs. The function evolved from a statistical analysis of crash data from two-lane rural highways in the state of Oregon. In general, that initial research effort revealed that advisory speed signs tended to enhance safety. However, the results also suggested that advisory speed signs may not display the value with the greatest potential safety benefit. Because the function derived from that research proved meaningful from the engineering and human factors perspectives, the authors then extended the use of that function to compute and recommend the theoretically optimal advisory speed. A new posting procedure resulted from that effort. The authors compared the "
1998,"Mark Tarrall, Karen Dixon",Conflict Analysis for Double Left-Turn Lanes with Protected-Plus-Permitted Signal Phases,A conflict study evaluated double left-turn lanes with protected-plus-permitted signal phasing. The data collection team observed traffic behavior at four intersections in the metro Atlanta region. Included in the data set are three intersections operating under protected-plus-permitted signal phasing and a fourth intersection with a before and after examination of a protected-plus-permitted signal phase changed to protected-only phasing. The authors calculated the traffic rates for five conflict types and one traffic event unique to double left-turn movements. A statistically significant decrease in traffic conflicts was identified for the before and after comparison site. The study also identifies unique intersection geometry and traffic volumes at each site and compares traffic conflicts associated with the features. The results generally show that the enhanced capacity of double left-turn lane intersections operating under protected-plus-permitted signal phasing may occur at the expense of the safety of the traveling public.
2000,"Govindarajan Vadakpat, Shelley Stoffels, Karen Dixon",Road User Cost Models for Network-Level Pavement Management,"Life-cycle cost analysis (LCCA) of pavements is a process for evaluating total economic worth of a usable project segment by analyzing initial costs and discounted future costs, such as those for maintenance, reconstruction, rehabilitation, and resurfacing. One of the most important ingredients in the LCCA process, at either a network level or a project level, is the determination of road user cost (RUC) during maintenance and rehabilitation operations. RUC models are also important in contracting strategies, which take into account time for a project to be completed for award and payment. Methods used to date to determine RUC are exclusively analytical in nature. Microscopic estimates of traffic are used to determine RUC. CORSIM, a microscopic traffic simulation program developed by FHWA, was used for this research. Models for additional travel time, added fuel consumption, and RUC for standard two-to-one lane closure scenarios are presented."
2000,"Janice Daniel, Karen Dixon, David Jared",Analysis of Fatal Crashes in Georgia Work Zones,"Studies on work zone crashes typically examine a combination of injury, fatal, and property damage crashes to identify factors that contribute to unsafe conditions within work zones. Few studies focus on fatal crashes within work zones, although a clear understanding of the driver, roadway, and work zone conditions associated with fatal crashes will facilitate the development of strategies aimed at improving safety and reducing fatal as well as nonfatal crashes. The Georgia Department of Transportation recently performed a study to identify the manner of collision, location, and construction activity associated with fatal crashes in work zones. This study is expanded further to examine the difference between fatal crash activity within work zones compared with fatal crashes in non-work-zone locations. Using data from three work zone locations in Georgia, fatal crash activity within work zones also was compared with nonfatal crashes within work zones. Finally, fatal crash activity was examined to determine the influence of the work zone activity on the frequency of fatal crashes. The overall findings of the study indicate that the work zone influences the manner of collision, light conditions, truck involvement, and roadway functional classification under which fatal crashes occur. The study also indicates that fatal crashes in work zones are more likely to involve another vehicle than non-work-zone fatal crashes, and fatal crashes in work zones are less influenced by horizontal and vertical alignment than are non-work-zone crashes."
