FIPS,LWX_TYPE,OWNER,DET_LENGTH,OT_TYPE,COMMENTS,Add_source,COUNTY,ROAD,FLOWSOURCE,SOURCE,LAT,LONG,GRADE,LOCATION_1,SIGNAGE,OWNER_ID,Latitude,Longitude,ID
191,UNVENTED FORD,COUNTY,0,RIVERINE,KENT CREEK NRCS STUDY,NA,HALL,CR 2,KENT CREEK,WEBSEARCH,34.33938262,-100.9197602,UNKNOWN,0.2 MI W OF CR CC,NV,NA,34.33938262,-100.9197602,A00001
191,UNVENTED FORD,COUNTY,0,RIVERINE,KENT CREEK NRCS STUDY,NA,HALL,UNNAMED RD,KENT CREEK,WEBSEARCH,34.34023001,-100.9288683,UNKNOWN,0.55 MI W OF CR BB,NV,NA,34.34023001,-100.9288683,A00002
191,UNVENTED FORD,COUNTY,0,RIVERINE,KENT CREEK NRCS STUDY,NA,HALL,CR BB,KENT CREEK,WEBSEARCH,34.35047299,-100.943613,UNKNOWN,0.3 MI W OF CR 1,NV,NA,34.35047299,-100.943613,A00003
45,UNVENTED FORD,COUNTY,0,RIVERINE,KENT CREEK NRCS STUDY,NA,BRISCOE,CR 30,KENT CREEK,WEBSEARCH,34.37262066,-101.0246183,UNKNOWN,BETWEEN US 86 AND CR KK,NV,NA,34.37262066,-101.0246183,A00004
43,UNVENTED FORD,TXDOT,0,RIVERINE,NA,NA,BREWSTER,PEDERALES DR,TERLINGUA CREEK TRIB,VGI,29.266253,-103.766994,UNKNOWN,0.1 MI N OF FM 170,NV,NA,29.266253,-103.766994,A00005
43,UNVENTED FORD,TXDOT,0,RIVERINE,NA,NA,BREWSTER,FM 170,TERLINGUA CREEK TRIB,VGI,29.2732,-103.751198,GRADE,0.27 MI E OF BUENASUARTE RD,NONE,NA,29.2732,-103.751198,A00006
443,UNVENTED FORD,CITY,0,RIVERINE,NA,NA,TERRELL,MANSFIELD ST,SANDERSON CREEK TRIB,VGI,30.14102678,-102.3868574,UNKNOWN,0.08 MI E OF HUDSPETH,NV,NA,30.14102678,-102.3868574,A00007
443,UNVENTED FORD,CITY,0,RIVERINE,NA,NA,TERRELL,MANSFIELD ST,SANDERSON CREEK TRIB,VGI,30.14081561,-102.3859956,UNKNOWN,0.14 MI E OF HUDSPETH,NV,NA,30.14081561,-102.3859956,A00008
443,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,TERRELL,MANSFIELD ST,SANDERSON CREEK TRIB,VGI,30.14008157,-102.3845575,UNKNOWN,0.23 MI E OF HUDSPETH,NV,NA,30.14008157,-102.3845575,A00009
443,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,TERRELL,UNNAMED RD,SANDERSON CREEK TRIB,VGI,30.11142853,-102.3626901,UNKNOWN,0.4 MI E OF US 90,NV,NA,30.11142853,-102.3626901,A00010
443,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,TERRELL,UNNAMED RD,SANDERSON CREEK TRIB,VGI,30.11164532,-102.3584668,UNKNOWN,0.6 MI E OF US 90,NV,NA,30.11164532,-102.3584668,A00011
193,UNVENTED FORD,CITY,0,RIVERINE,NA,NA,HAMILTON,GENTRY ST,"PECAN CREEK, TRIB",VGI,31.70543665,-98.11611992,GRADE,BETWEEN HALL AND ILANTHE,NONE,NA,31.70543665,-98.11611992,A00012
319,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,MASON,OLD PONTOTOC RD,COMANCHE CREEK TRIB,VGI,30.79998369,-99.22719699,UNKNOWN,0.20 MI E OF OLD MASON RD,NV,NA,30.79998369,-99.22719699,A00013
319,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,MASON,OLD PONTOTOC RD,COMANCHE CREEK TRIB,VGI,30.79989504,-99.22603599,UNKNOWN,0.27 MI E OF OLD MASON RD,NV,NA,30.79989504,-99.22603599,A00014
319,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,MASON,OLD MASON RD,COMANCHE CREEK TRIB,VGI,30.79777783,-99.22838965,UNKNOWN,BETWEEN OLD PONTOTOC AND RR 386,NV,NA,30.79777783,-99.22838965,A00015
319,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,MASON,UNNAMED ST,KOOCKS BRANCH,VGI,30.75750274,-99.25368919,UNKNOWN,0.15 MI W OF KOOCKSVILLE RD,NV,NA,30.75750274,-99.25368919,A00016
